Judet,UAT,Localitate,Siruta,"Nr sectie de votare","Nume sectie de votare",Mediu,"Înscriși pe liste permanente",LP,LS,LSC,UM,LT,"Barbati 18-24","Barbati 25-34","Barbati 35-44","Barbati 45-64","Barbati 65+","Femei 18-24","Femei 25-34","Femei 35-44","Femei 45-64","Femei 65+","Barbati 18","Barbati 19","Barbati 20","Barbati 21","Barbati 22","Barbati 23","Barbati 24","Barbati 25","Barbati 26","Barbati 27","Barbati 28","Barbati 29","Barbati 30","Barbati 31","Barbati 32","Barbati 33","Barbati 34","Barbati 35","Barbati 36","Barbati 37","Barbati 38","Barbati 39","Barbati 40","Barbati 41","Barbati 42","Barbati 43","Barbati 44","Barbati 45","Barbati 46","Barbati 47","Barbati 48","Barbati 49","Barbati 50","Barbati 51","Barbati 52","Barbati 53","Barbati 54","Barbati 55","Barbati 56","Barbati 57","Barbati 58","Barbati 59","Barbati 60","Barbati 61","Barbati 62","Barbati 63","Barbati 64","Barbati 65","Barbati 66","Barbati 67","Barbati 68","Barbati 69","Barbati 70","Barbati 71","Barbati 72","Barbati 73","Barbati 74","Barbati 75","Barbati 76","Barbati 77","Barbati 78","Barbati 79","Barbati 80","Barbati 81","Barbati 82","Barbati 83","Barbati 84","Barbati 85","Barbati 86","Barbati 87","Barbati 88","Barbati 89","Barbati 90","Barbati 91","Barbati 92","Barbati 93","Barbati 94","Barbati 95","Barbati 96","Barbati 97","Barbati 98","Barbati 99","Barbati 100","Barbati 101","Barbati 102","Barbati 103","Barbati 104","Barbati 105","Barbati 106","Barbati 107","Barbati 108","Barbati 109","Barbati 110","Barbati 111","Barbati 112","Barbati 113","Barbati 114","Barbati 115","Barbati 116","Barbati 117","Barbati 118","Barbati 119","Barbati 120","Femei 18","Femei 19","Femei 20","Femei 21","Femei 22","Femei 23","Femei 24","Femei 25","Femei 26","Femei 27","Femei 28","Femei 29","Femei 30","Femei 31","Femei 32","Femei 33","Femei 34","Femei 35","Femei 36","Femei 37","Femei 38","Femei 39","Femei 40","Femei 41","Femei 42","Femei 43","Femei 44","Femei 45","Femei 46","Femei 47","Femei 48","Femei 49","Femei 50","Femei 51","Femei 52","Femei 53","Femei 54","Femei 55","Femei 56","Femei 57","Femei 58","Femei 59","Femei 60","Femei 61","Femei 62","Femei 63","Femei 64","Femei 65","Femei 66","Femei 67","Femei 68","Femei 69","Femei 70","Femei 71","Femei 72","Femei 73","Femei 74","Femei 75","Femei 76","Femei 77","Femei 78","Femei 79","Femei 80","Femei 81","Femei 82","Femei 83","Femei 84","Femei 85","Femei 86","Femei 87","Femei 88","Femei 89","Femei 90","Femei 91","Femei 92","Femei 93","Femei 94","Femei 95","Femei 96","Femei 97","Femei 98","Femei 99","Femei 100","Femei 101","Femei 102","Femei 103","Femei 104","Femei 105","Femei 106","Femei 107","Femei 108","Femei 109","Femei 110","Femei 111","Femei 112","Femei 113","Femei 114","Femei 115","Femei 116","Femei 117","Femei 118","Femei 119","Femei 120"
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,1,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",U,1777,887,65,0,0,952,32,47,78,170,97,36,65,99,199,129,6,4,10,2,5,4,1,5,5,3,3,6,1,4,5,7,8,2,3,8,7,9,12,8,12,4,13,7,8,6,13,10,9,8,6,14,8,11,10,12,5,5,7,7,6,9,9,7,8,6,2,12,11,6,4,4,3,8,3,2,3,3,4,5,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,6,1,4,6,7,2,8,4,8,4,5,13,8,6,10,11,12,13,7,7,5,9,16,9,9,12,10,15,19,11,11,3,10,10,9,11,9,11,7,11,10,2,10,9,8,6,7,15,12,13,5,3,8,9,8,4,9,8,3,3,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,2,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",U,985,501,90,0,0,591,19,41,33,107,71,26,37,48,106,103,4,2,2,2,5,2,2,2,4,6,3,6,4,5,4,2,5,4,4,3,2,3,4,2,5,1,5,10,2,7,6,8,3,8,10,2,7,8,11,6,3,1,3,3,4,1,4,6,5,4,5,5,2,8,6,2,8,0,2,3,4,2,0,2,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,6,2,2,5,4,4,2,5,0,5,4,4,4,4,7,4,4,6,6,3,3,4,7,5,6,4,5,7,3,8,7,8,5,8,7,4,3,4,4,1,6,7,4,9,6,8,6,8,9,6,8,6,6,3,5,3,2,4,1,0,4,1,0,3,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,3,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",U,1279,580,47,0,0,627,22,25,64,107,72,14,31,62,125,105,3,4,2,4,1,6,2,4,3,1,2,2,3,3,3,3,1,5,8,9,7,7,7,8,2,4,7,6,5,8,7,5,7,5,7,9,1,6,1,6,2,4,4,3,9,7,5,9,4,3,0,1,6,9,4,4,6,4,4,5,2,3,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,4,1,5,3,1,1,5,1,6,2,2,5,6,7,6,7,6,8,3,5,8,6,4,4,9,6,5,8,5,13,7,7,7,3,10,4,2,8,6,6,7,4,5,4,9,9,15,9,10,3,7,14,4,1,2,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,4,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",U,1256,695,51,0,17,763,24,31,52,144,117,28,32,51,141,143,5,5,5,5,1,3,0,4,4,4,3,2,2,0,3,6,3,7,5,4,9,3,8,3,3,6,4,7,8,17,13,6,9,8,7,5,3,10,7,10,3,4,3,4,5,7,8,7,6,9,9,9,7,6,7,10,6,9,4,1,5,5,1,3,1,3,3,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,2,2,2,2,2,3,3,2,2,3,3,6,2,6,1,1,6,7,3,5,5,8,7,8,7,10,7,11,8,6,9,6,5,7,12,6,8,1,6,6,4,3,4,15,6,12,11,11,8,12,6,10,11,2,11,10,6,3,4,3,5,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,5,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",U,965,479,64,0,0,543,14,30,56,82,75,12,30,58,98,88,3,1,2,3,3,1,1,4,0,5,1,5,4,2,4,2,3,3,5,7,7,10,3,6,1,6,8,3,5,4,7,10,2,3,4,4,4,11,3,6,0,4,4,2,2,4,0,8,5,4,5,7,4,10,6,3,1,4,7,3,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,1,1,1,2,3,5,1,6,1,3,3,5,7,5,5,8,3,4,6,7,8,5,5,8,5,5,4,9,3,7,3,5,6,8,5,3,2,4,3,4,4,5,6,6,6,4,7,11,8,4,15,2,3,1,2,2,3,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,6,"CASA DE CULTURĂ A STUDENŢILOR",U,705,296,80,0,0,376,13,26,34,65,46,12,22,36,68,54,0,4,2,2,2,1,2,3,3,4,3,2,4,3,2,1,1,4,1,4,4,7,1,4,2,3,4,3,6,2,3,4,7,6,5,3,3,5,3,1,1,1,3,1,2,5,1,2,2,4,4,2,1,7,1,4,3,0,1,3,3,3,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,2,1,5,2,2,2,1,1,3,0,2,4,2,2,5,5,7,3,3,2,5,2,3,4,6,2,5,5,4,2,5,3,4,2,3,0,3,4,0,6,2,5,6,6,3,3,6,7,2,3,3,2,2,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,7,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",U,1539,878,173,0,3,1054,36,47,106,178,121,42,62,112,214,136,11,6,6,3,1,4,5,8,3,3,5,3,4,7,3,5,6,6,13,11,12,5,9,10,14,12,14,15,14,13,12,14,11,7,6,12,8,16,7,4,3,8,6,7,1,6,8,10,3,6,13,13,10,6,7,11,7,4,1,5,3,6,0,3,3,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,5,6,6,5,2,4,10,6,6,5,5,5,9,10,8,11,6,8,8,12,14,15,15,15,12,18,14,17,8,18,9,8,10,10,11,14,7,7,6,2,10,10,10,13,3,10,12,12,12,12,7,7,7,14,4,4,10,3,4,2,2,3,1,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,8,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,902,420,97,0,24,541,35,35,41,78,76,13,25,28,93,117,6,5,6,5,6,4,3,1,6,3,6,3,2,2,4,4,4,3,4,6,3,7,4,2,1,5,6,4,7,5,3,2,5,6,3,3,4,7,1,10,2,6,3,1,1,3,2,5,6,2,5,5,10,7,3,6,6,1,4,3,1,2,1,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,2,2,0,3,4,4,3,3,1,1,3,3,2,2,2,3,1,1,3,3,5,6,5,3,2,4,5,7,2,5,6,6,4,9,8,4,3,5,1,6,4,4,8,8,5,9,7,8,10,7,5,11,4,12,3,4,0,4,3,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,9,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,1867,1011,110,0,0,1121,53,50,106,228,114,41,63,113,236,117,11,13,11,5,4,5,4,4,5,3,0,3,4,8,6,10,7,5,10,6,7,7,19,13,11,19,9,7,13,14,14,11,19,9,17,4,14,11,12,20,11,11,8,8,9,8,8,5,13,10,8,9,8,12,4,5,12,4,7,4,1,2,3,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,3,5,8,6,6,4,1,6,6,4,4,9,11,12,16,7,10,11,8,11,11,13,10,16,11,15,18,15,15,12,15,12,9,6,5,20,20,9,7,7,7,11,10,12,8,15,12,6,5,10,9,6,7,3,6,8,4,2,3,3,0,3,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,"MUNICIPIUL ALBA IULIA","ALBA IULIA",1017,10,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",U,1307,571,136,0,0,707,21,37,52,114,84,31,50,65,139,114,5,3,2,3,3,2,3,3,6,1,4,6,4,2,3,5,3,4,5,10,3,4,3,1,5,8,9,7,5,4,7,9,4,5,9,6,7,6,9,9,5,2,6,2,5,4,3,5,3,12,7,4,7,10,6,3,3,3,4,4,5,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,4,2,8,3,4,4,4,5,8,1,7,7,6,4,6,7,6,6,8,6,4,3,11,8,5,11,7,4,8,8,3,6,9,5,8,8,12,6,8,3,6,4,9,9,11,11,7,7,11,11,8,11,6,4,6,5,5,4,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
