precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"ELENA-VALERICA LASCONI-voturi","GEORGE-NICOLAE SIMION-voturi","ION-MARCEL CIOLACU-voturi","NICOLAE-IONEL CIUCĂ-voturi","HUNOR KELEMEN-voturi","MIRCEA-DAN GEOANĂ-voturi","ANA BIRCHALL-voturi","ALEXANDRA-BEATRICE BERTALAN-PĂCURARU-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","LUDOVIC ORBAN-voturi","CĂLIN GEORGESCU-voturi","CRISTIAN DIACONESCU-voturi","CRISTIAN-VASILE TERHEȘ-voturi","SILVIU PREDOIU-voturi"
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-25 01:17:11",1755,971,910,61,0,953,18,1829,858,242,87,114,142,9,103,7,2,2,4,158,59,24,0
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",2,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:44:35",985,521,472,48,1,511,10,1100,579,110,69,63,86,9,50,2,0,4,1,74,35,8,0
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",3,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 23:17:45",1290,693,602,91,0,683,10,1400,707,157,61,101,87,18,70,5,2,2,0,127,40,12,1
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",4,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-25 00:02:14",1247,709,642,49,18,700,9,1300,591,153,78,108,121,10,88,5,1,0,0,81,46,7,2
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",5,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:41:42",962,544,483,61,0,539,5,1100,556,115,75,70,77,10,58,7,0,2,4,90,22,9,0
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,3,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-25 02:17:45",709,385,297,88,0,381,4,796,411,96,48,47,48,8,50,5,0,0,2,58,13,6,0
1,ALBA,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",7,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-25 01:56:31",1535,1026,884,128,14,1015,11,1600,574,265,89,121,182,14,107,3,4,1,1,147,52,28,1
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",8,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:40:04",902,590,435,127,28,580,10,1700,1110,114,69,107,69,64,43,8,1,0,4,56,28,16,1
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",9,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 23:23:43",1862,1148,1048,100,0,1143,5,1900,752,274,123,104,194,11,173,8,1,0,0,170,56,28,1
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",10,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-25 00:04:24",1316,700,569,131,0,694,6,1400,700,143,88,97,89,9,68,4,3,2,3,139,34,14,1
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",11,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:22:14",897,468,373,95,0,461,7,1000,532,106,73,56,33,2,34,5,0,1,0,114,26,10,1
1,ALBA,"COLEGIUL TEHNIC „APULUM”",12,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:56:09",1093,455,406,49,0,442,13,1200,745,76,80,69,37,5,57,2,0,3,1,89,20,3,0
1,ALBA,"COLEGIUL TEHNIC „APULUM”",13,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:22:25",929,432,396,34,2,423,9,1000,568,91,48,76,50,6,39,0,1,0,2,85,20,4,1
1,ALBA,"COLEGIUL TEHNIC „APULUM”",14,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:42:49",1045,460,428,30,2,448,12,1100,640,109,46,63,38,2,64,3,1,1,0,77,28,16,0
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",15,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-24 22:08:07",1268,687,506,181,0,676,11,1400,713,160,110,89,51,3,43,2,2,1,2,169,25,19,0
1,ALBA,"SEMINARUL TEOLOGIC ORTODOX „SFÂNTUL SIMION ŞTEFAN”",16,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2024-11-25 00:24:26",1267,644,556,88,0,632,12,1400,756,145,102,96,85,5,44,3,2,0,0,104,32,13,1
