precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,c,c1,c2,d,d1,d2,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
43,STRĂINĂTATE,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 1",1,ROMANIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 06:37:38",0,3739,3536,203,3536,3535,1,3535,3492,43,279,382,346,13,8,62,6,16,3,51,2326
43,STRĂINĂTATE,PRETORIA,1,"AFRICA DE SUD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:05:34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"CAPE TOWN",2,"AFRICA DE SUD",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:59:21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,TIRANA,3,"REPUBLICA ALBANIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:41:07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ALGER,4,ALGERIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:33:07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,LUANDA,5,ANGOLA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:14:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,RIYADH,6,"REGATUL ARABIEI SAUDITE",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:00:29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BUENOS AIRES",7,ARGENTINA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:11:20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,EREVAN,8,ARMENIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 20:50:09",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,CANBERRA,9,AUSTRALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 15:32:57",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,MELBOURNE,10,AUSTRALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:03:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SYDNEY,14,AUSTRALIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 15:38:44",0,2,2,0,2,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"VIENA 1",16,AUSTRIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:33:37",0,9,9,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9
43,STRĂINĂTATE,"SALZBURG 1",26,AUSTRIA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 12:56:35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BAKU,33,AZERBAIDJAN,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 20:42:49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,MINSK,34,"REPUBLICA BELARUS",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:53:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"BRUXELLES 1",35,BELGIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:33:10",0,8,8,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,8
43,STRĂINĂTATE,SARAJEVO,64,"BOSNIA ȘI HERȚEGOVINA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:25:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BRASILIA,65,BRAZILIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:53:01",0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"RIO DE JANEIRO",67,BRAZILIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:48:34",0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SOFIA,69,BULGARIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:12:26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,OTTAWA,70,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:39:28",0,4,4,0,4,4,0,4,4,0,0,1,0,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,TORONTO,74,CANADA,9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 04:58:54",0,26,25,1,25,23,2,23,23,0,6,4,0,0,0,0,0,0,0,0,13
43,STRĂINĂTATE,"MONTREAL 2",80,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:33:06",0,8,8,0,8,8,0,8,8,0,0,3,2,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,VANCOUVER,81,CANADA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 23:58:34",0,7,7,0,7,7,0,7,7,0,2,2,0,0,0,0,0,0,0,0,3
43,STRĂINĂTATE,"PRAGA 1",83,"REPUBLICA CEHĂ",9999,2,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 12:38:21",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
43,STRĂINĂTATE,"SANTIAGO DE CHILE",86,"REPUBLICA CHILE",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:53:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BEIJING,87,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:50:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"HONG KONG",88,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:46:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SHANGHAI,89,"REPUBLICA POPULARĂ CHINEZĂ",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 17:24:39",0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"NICOSIA 1",90,"REPUBLICA CIPRU",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:11:38",0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BOGOTA,98,"REPUBLICA COLUMBIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:32:14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,SEOUL,99,"REPUBLICA COREEA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 16:51:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,ZAGREB,100,"REPUBLICA CROAȚIA",9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:27:56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,HAVANA,101,CUBA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 21:51:52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"COPENHAGA 1",102,DANEMARCA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 00:37:00",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,CAIRO,117,EGIPT,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-04 22:06:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,BERNA,120,ELVEȚIA,9999,1,PART,PRCNCT,PRSD_C,PRSD_SV_C,"2025-05-05 01:21:59",0,68,65,3,65,65,0,65,63,2,1,6,2,0,0,0,0,0,0,2,52
